영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
오! 문희,"코미디, 드라마",정세교,"나문희, 이희준, 김예은, 최원영, 박지영, 전배수, 김선경, 김정영, 김학선, 이진주, 박예찬, 박진우, 최광일, 차순배, 김수경, 김보정, 이규성, 김동규, 김혜나, 동현배, 우영남, 박성용, 오창경, 송지유, 김귀선, 장준녕, 윤여진, 이석, 이지안, 유병선, 남정우, 김세정, 김동현, 김종근, 구본진, 나은미, 강희중, 강중훈, 김수란, 배시은, 송우주, 최예찬, 박연희, 윤인제, 박건태, 이재덕, 송진석, 이광훈, 김경섭, 박규범, 최요운, 권가이, 김누리, 강지현, 윤옥길, 김수란, 박성준, 박현지",20200902,https://image.tmdb.org/t/p/w500/pjqweWlZtgivZKDTG2moq8MpCxU.jpg,평화로운 금산 마을. 불같은 성격에 가족 사랑도 뜨거운 두원에게 하나뿐인 딸 보미가 뺑소니 사고를 당했다는 청천벽력 같은 소식이 전해진다. 게다가 현장의 유일한 목격자는 기억이 깜빡깜빡하는 엄니 문희와 왈왈 짖기만 하는 개 앵자뿐. 의식 불명 상태로 병원에 있는 보미. 경찰 수사에 진전이 없자 두원의 속은 점점 타들어간다. 하지만 예기치 못한 순간 엄니 문희가 뜻밖의 단서를 기억해내고 두원은 엄니와 함께 논두렁을 가르며 직접 뺑소니범을 찾아 나서기 시작하는데...
기기괴괴 성형수,"공포(호러), 스릴러",조경훈,"문남숙, 장민혁, 조현정, 김보영, 최승훈, 김소형, 강시현, 박성광, 정유정, 황창영, 서반석",20200909,https://image.tmdb.org/t/p/w500/qF7N4Ssjkk5dI0x7tBvyXyPRJjb.jpg,"수술을 하지 않아도 화장을 하듯 얼굴을 원하는 대로 자유자재로 바꿀 수 있다는 성형수. 외모로 인해 끔찍한 일을 겪게 된 예지는 어느 날 이 믿기 힘든 유혹을 접하면서 얼굴과 전신, 말 그대로 머리에서 발끝까지 새로운 모습으로 바꾸고 유명인이 된다. 예지는 인간으로서 지켜야 할 선을 넘어서라도 그저 새로운 외모와 삶을 지키고 싶을 뿐이다."
결백,드라마,박상현,"신혜선, 배종옥, 허준호, 태항호, 홍경, 김수현, 차순배, 정인겸, 최홍일, 한이진, 고창석, 김석훈, 박성근, 배해선, 박진영, 박철민, 김영재, 김중희, 김도윤, 신철진, 김정팔, 하성광, 김현아, 주석제, 윤가현, 한철우, 곽자형, 신현용, 신원우, 김정현, 하윤서, 김재철, 이동규, 숭의열, 권혁훈, 성규찬, 김진욱, 성열석, 김상욱, 고병택, 고병택, 길창규, 정애화, 황도윤, 조민준, 이지우, 박시윤, 헨니 사비니지, 홍은진, 김덕주, 이민섭, 김동현, 박성훈, 김미준, 이소윤, 임마리아, 노형원, 이한종, 김지성, 신문성, 조민정, 신혜정, 남상우, 이원상, 한우열, 노준표, 서정원, 김예진, 조원준, 김경태, 윤민, 이광섭, 하승연, 이재현, 전정일, 이상철, 허성우, 김가은, 황재필, 노태현, 신정식, 고경옥, 이진희, 이솔, 방예슬, 권지희, 정시후, 신재영, 김정, 노영애, 오영욱, 이장숙, 홍현종, 정세영, 정승균, 정승균, 황영수, 김지한, 고재운, 원우, 정한빈",20200610,https://image.tmdb.org/t/p/w500/8xWV5umarehP0WvfZr9rmFE9wSl.jpg,"평범한 시골 농가의 장례식장, 농약을 탄 막걸리를 마신 마을 주민 1명이 사망하고 4명이 중태에 빠진 충격적인 사건이 벌어진다. 살인사건의 용의자로 급성 치매에 걸려 조문객 맞이도 제대로 하지 못한 채 남편의 장례식장을 지키고 있던 화자가 현장에서 체포되고, 고향집과 발길을 끊고 지냈던 대형 로펌 에이스 변호사인 딸 정인이 법의 사각지대에 놓인 엄마의 변호를 맡게 된다."
에이바,"액션, 범죄, 드라마",테이트 테일러,"제시카 차스테인, 콜린 파렐, 존 말코비치",20200909,https://image.tmdb.org/t/p/w500/fJ0i5MKbBTKJGYY2uxsiUMdwMc6.jpg,"타깃 제거 100%, 실패 확률 0% 킬러 에이바. 프랑스 최대의 사기범을 제거하는 작전에 투입된 그녀는 임무 중 조직의 금기를 깨트린다. 한편, 그 사실을 알게 된 새로운 보스 사이먼은 그녀를 제거할 것을 명령하게 되는데… 죽거나, 죽이거나 타깃이 된 그녀, 살기 위한 킬링 액션이 시작된다!"
다만 악에서 구하소서,"범죄, 액션",홍원찬,"황정민, 이정재, 박정민, 박소이, 최희서, 송영창, 이서환, 박명훈, 오대환, 심영은, 최병모, 김성곤, 최정화, 이태검, 정우영, 지현준, 박재홍, 최상재, 김도연, 정택호, 문정수, 김민식, 송유현, 임성재, 권찬민, 황인성, 소준일, 최상재",20200805,https://image.tmdb.org/t/p/w500/xYnL0kA0V7aDvg8wupmWQbdgb9a.jpg,"태국에서 충격적인 납치사건이 발생하고 마지막 청부살인 미션을 끝낸 암살자 인남은 그것이 자신과 관계된 것임을 알게 된다. 인남은 곧바로 태국으로 향하고, 조력자 유이를 만나 사건을 쫓기 시작한다. 한편, 자신의 형제가 인남에게 암살당한 것을 알게 된 레이. 무자비한 복수를 계획한 레이는 인남을 추격하기 위해 태국으로 향하는데..."
송 오브 러브,"드라마, 뮤지컬",,,20200910,https://image.tmdb.org/t/p/w500/tILXczjbBT5OZE7uT4sNxBh2C9H.jpg,"1966년, 친구들과 파티를 하고 돌아가던 에릭은 호숫가에서 울고 있는 로즈를 만나게 된다. 그녀를 다독이며 집으로 데려다 준 에릭, 둘은 운명처럼 사랑에 빠지고 연애를 시작한다. 그리고 여느 연인과 다를 것 없이 결혼을 하고 사랑스러운 아이도 낳아 함께 하지만, 자유로운 에릭으로 인해 로즈는 점점 지쳐간다. 그리고 결국 이별을 맞이하게 된 연인. 인디 밴드의 보컬 ‘메이지’는 어느 한 공연장의 무대 위로 올라가 공연을 시작한다. 오프닝 송을 부르자, 그녀의 눈 앞에 달콤했지만, 씁쓸한 사랑을 했던 연인, 자신의 어머니와 아버지의 이야기가 펼쳐진다."
테스와 보낸 여름,드라마,스티븐 바우터루드,"소니 코프스 판 우테렌, 조세핀 아렌센, 트에보 게리츠마, 제니퍼 호프만",20200910,https://image.tmdb.org/t/p/w500/oy5kpP2TGv3fSOKMfqkizBVdq16.jpg,"세상 진지한 4차원 소년 ‘샘’ X 저 세상 텐션 5차원 소녀 ‘테스’. 엉뚱한 소년 ‘샘’은 가족과 함께 떠난 바닷가 휴양지에서도 죽음에 대해 고민하는 중이다. 지구에 남은 마지막 공룡은 어떤 마음이었을까 상상하던 ‘샘’은 언젠가 혼자 남겨질 경우를 대비해 ‘외로움 적응 훈련’에 돌입한다. 그런데 섬에서 만난 소녀 ‘테스’로 인해 계획에 차질이 생기기 시작한다. 첫 만남에 다짜고짜 살사 춤을 추자고 하는 더 엉뚱한 소녀 ‘테스’는 어디로 튈지 알 수 없는 행동으로 ‘샘’을 놀라게 한다. 그러던 중 어른들은 모르는 ‘테스’의 비밀스러운 계획을 알게 된 ‘샘’은 이에 동참하게 되는데… 얼마 남지 않은 여름의 끝, 그전에 미션을 수행해야 한다!"
아무도 없다,스릴러,존 하이암스,"줄스 윌콕스, 마크 멘차카, 안소니 힐드",20200909,https://image.tmdb.org/t/p/w500/yMr5OI0vX9L8sgf45OTFxp1quLm.jpg,"낯선 도로 위에서 사이코패스 살인마의 표적이 된 제시카. 보복 운전과 악질 스토킹 끝에 절대 혼자 빠져나올 수 없는 숲으로 납치된다. 살갗을 찢는 억센 수풀부터 눈을 찌르는 비바람, 누군가 섬뜩하게 지켜보고 있는 듯한 짙은 어둠까지 누구의 도움도 바랄 수 없는 최악의 상황에서 세상 밖으로 탈출하기 위해 살인마와 목숨 건 사투를 벌이는데…"
강철비2: 정상회담,"드라마, 액션",양우석,"정우성, 유연석, 곽도원, 앵거스 맥페이든, 신정근, 류수영, 염정아, 김용림, 김명곤, 장광, 이재용, 안내상, 손종학, 하쿠류, 크리스틴 달튼, 스콧 로웰, 서동갑, 김승태, 정진각, 유성주, 김중희, 김중기, 신수연, 심희섭, 손승범, 전운종, 김호준, 최원, 서지원, 조유신, 김재일, 이승찬, 권혁성, 이태형, 최민철, 박성현, 최재훈, 박윤석, 이수련, 고윤, 이남희, 전영미, 공대유, 서지원, 현대철, 최희진, 김다영, 김진욱, 조민국, 조의진, 고현철, 김세윤, 김연, 이동호, 위민국, 하진철, 이재영, 박범기, 박범석, 권동원, 지웅배, 김평조, 류한선, 이민수, 김한, 이충배, 신훈희, 한상균, 임평순, 김진숙, 김우진, 이육헌, 이창주, 조성재, 송채린, 권훈, 김영조, 오재세, 남찬규, 양욱, 김상화, 류근식, 김왕도, 홍인아, 강지훈, 김선홍, 장나라, 김시원, 한민희, 이덕건, 이순풍, 김상욱, 김우택, 김용우, 정상균, 구본혁, 최민혁, 김민호, 최나린, 문근식, 김용우, 최병문, 권관옥, 박경준, 한동균, 백승환, 최현종, 홍경훈, 유현식, 김탁, 이진희, 홍현종, 최기상, 육효명, 이정철, 양영일, 김지한, 이규연, 고재운, 표성균, 정승기, 임재혁, 문지완, 최승혁, 강민규, 백남해, 전병도, 김종표, 추태균, 안영진, 이선희, 안승현, 손인숙, 이승미, 김애란, 김철웅, 박문희, 박현옥, 안찬성, 이미경, 박천호, 정석희, 한옥순, 유영숙, 한재완, 박미숙, 조혜경, 이원, 김도현, 김도빈, 전지호, 문장택, 이용기, 인승주, 임정빈, 박주현, 최민서, 박민혁, 김영욱, 김진우, 이종현, 이상직, 윤정도, 김상우, 송승표, 신민규, 김성우, 고태관, 박종훈, 허인홍, 경성현, 최현채, 김태준, 조우진, 유현주, 김규민, 정세미, 고해성, 강태식, 박소라, 이동규, 신동호, 유재상",20200729,https://image.tmdb.org/t/p/w500/rWDJIeUcNRreqog31NKgHIeFPs4.jpg,"북미 평화협정 체결을 위한 대한민국 대통령, 북한의 최고지도자인 위원장과 미국 대통령간의 남북미 정상회담이 북한 원산에서 열린다. 북미 사이 좀처럼 이견이 좁혀지지 않는 가운데 최종 협상을 위해 고심하는 사이, 핵무기 포기와 평화체제 수립에 반발하는 북 호위총국장의 쿠데타가 발생하고, 납치된 세 정상은 북한 핵잠수함에 인질로 갇힌다. 그리고, 좁디 좁은 함장실 안, 예기치 못한 진정한 정상회담이 벌어지게 되는데..."
반도,"액션, 드라마",연상호,"강동원, 이정현, 권해효, 김민재, 구교환, 김도윤, 이레, 이예원, 김규백, 황영희, 장소연, 문우진, 차시원, 박종범, 김태준, 이승진, 안현빈, 고동형, 오진호, 박성현, 윤영균, 오문강, 유동균, 김민송, 김시호, 박세준, 김철윤, 강전영, 신희철, 조용환, 손윤환, 김희수, 김성호, 이세랑, 김세동, 채우식, 황윤호, 김정승, 이한, 김평조, 장나라, 박범석, 허승, 김원훈, 최세인, 조전범, 이조풍, 미석, 장격수, 유성주, 박충환, 원진호, 용재화, 김이연, 김희, 선우, 이태경, 장락천, 한성수, 김윤도, 박종범, 박수찬, 고나영, 박찰리, 이한, 김만호, 황윤호, 정현옥, 윤상원, 성백인, 박시연, 배윤민, 최성식, 남상우, 권용덕, 하길현, 이보영, 문바롬, 김진욱, 이단, 이태환, 안재원, 전아희, 지성은, 김현우, 명승훈, 김민환, 김빛나래, 민정은, 조현수, 현직, 김평조, 한철훈, 노재훈, 김정승, 김온림, 김희진, 강춘성, 유성재, 김태환, 이유진, 김오복, 김은해, 이승진, 이도헌, 전한승, 강준석, 공민규, 김기태, 김통령, 김찬욱, 김승완, 배성민, 소윤호, 오재세, 오현근, 임지한, 진근호, 최정현, 곽한훈, 한시원, 김영조, 김왕도, 박은철, 이웅규, 정승욱, 김성호, 김예원, 김단비, 김한솔, 주석인, 유재연, 이재우, 황필성",20200715,https://image.tmdb.org/t/p/w500/gqRUcdZ7gBrC89PbqYWgJ0XCH7E.jpg,전대미문의 재난 이후 4년이 흐른 대한민국은 버려진 땅이 되어버렸다. 사람들은 고립된 섬이 된 반도에 갇혔고 누구의 생사도 확인할 수 없는 상황에서 정석은 피할 수 없는 미션을 받고 한국 땅에 다시 발을 들인다. 정석은 미지의 세계인 그곳에서 예상치 못한 습격을 받고 일촉즉발의 순간 ‘반도’의 생존자들을 만나게 된다.
애니멀 크래커,"애니메이션, 어드벤처, 가족, 판타지",토니 밴크로프트,"존 크래신스키, 에밀리 블런트, 대니 드비토, 이안 맥켈런, 실베스터 스탤론",20200805,https://image.tmdb.org/t/p/w500/iSTBAShcn8WULJ8dKxKha1c0t1w.jpg,"반복되는 일상에 지루해하던 오웬에게 신비한 과자상자가 삼촌의 유품으로 남겨진다. ""세상에~! 먹는 순간 동물로 변하는 마법의 과자라니!"" 평생 꿈꿔온 서커스를 시작해보기로 결심하는 오웬 가족. 하지만 호시탐탐 마법 과자를 노리는 호레이쇼의 등장으로 모든 일이 꼬여만가는데... 오웬 가족의 신나는 매직 서커스, 본격적으로 시작해 볼까?"
알라딘,"어드벤처, 가족, 판타지",가이 리치,"메나 마수드, 윌 스미스, 나오미 스콧",20190523,https://image.tmdb.org/t/p/w500/hvoi0h5hX7cKjatXvbc3gYqT1Xw.jpg,알라딘은 전광석화 같은 손놀림과 타고난 삼십육계 줄행랑을 고루 갖춘 아그라바 왕국의 좀도둑이다. 원숭이 친구 아부를 대동한 채 굶주림에 고통받는 아이들을 못 본 척하지 않는 게 그의 인간적인 매력. 어느 날 아그라바 왕국을 다스리는 술탄이 애지중지하는 딸 자스민 공주가 백성들을 살피기 위해 성 밖으로 나왔다가 빵을 훔쳤다는 누명을 쓰게 된다. 마침 그 광경을 목격한 알라딘은 자스민 공주를 위기에서 구해준다. 자스민 공주가 왕궁에서 일하는 시녀인 줄 알고 그녀를 보러 성 안에 들어간 알라딘은 재상 자파에게 붙잡히고 마는데...
미녀와 야수,"멜로/로맨스, 판타지, 뮤지컬",빌 콘돈,"엠마 왓슨, 댄 스티븐스, 루크 에반스, 이완 맥그리거, 이안 맥켈런, 엠마 톰슨, 구구 바샤-로, 케빈 클라인, 스탠리 투치",20170316,https://image.tmdb.org/t/p/w500/tzYsKo6wGoBrP51eL9wDzfDP6Vx.jpg,"프랑스의 작은 마을에 아버지와 살고 있는 벨은 책을 통해 넓은 세계를 꿈꾼다. 전쟁 영웅 개스톤의 저돌적인 구애와 마을 사람들의 핀잔에도 결혼 따위엔 관심이 없다. 어느 날 행방불명된 아버지를 찾아 폐허가 된 성에 도착한 벨은 저주에 걸린 야수를 만나 아버지 대신 성에 갇히고, 야수 뿐 아니라 성 안의 모든 이들이 신비로운 장미의 마지막 꽃잎이 떨어지기 전에 저주를 풀지 못하면 영원히 인간으로 돌아올 수 없는 운명임을 알게 된다. 성에서 도망치려던 벨은 자신을 보호해 준 야수의 진심을 알게 되면서 차츰 마음을 열어가기 시작하는데..."
빅샤크3: 젤리몬스터 대소동,애니메이션,신우,"정의한, 원에스더, 김진홍, 김경희, 손선영",20200729,https://image.tmdb.org/t/p/w500/4vDjxG632lSKFh1FM48lCilLwdM.jpg,"""말랑말랑 젤리몬스터가 나타났어요!"" 어느 날, 하늘에서 뚝! 말랑말랑 귀여운 초록색 젤리몬스터가 갑자기 바닷속으로 떨어지는 바람에 평화롭던 바다왕국은 커다란 소동에 휩싸인다. 젤리몬스터가 악당이라며 없애려고 하는 펭귄박사와 물범대장. 바닷속 친구들은 전설의 핑크돌고래를 찾아 젤리몬스터를 구해야만 하는데... 빅샤크와 바닷속 친구들의 우당탕탕 스릴만점 신나는 모험이 시작된다."
남매의 여름밤,드라마,윤단비,"박현영, 양흥주, 최정운, 박승준, 강석원",20200820,https://image.tmdb.org/t/p/w500/6LQ1VQAaXskx59PRzG3yHDTQ4Mo.jpg,"아빠와 함께 남매 옥주와 동주는 별로 왕래가 없던 할아버지 집에서 지내게 된다. 그렇게 오래된 2층 양옥집에서의 여름방학이 시작되고 한동안 못 만났던 고모까지 합세하면서, 할아버지 혼자 쓸쓸히 지내던 집은 갑자기 3대가 함께 사는 사람 냄새 풀풀 풍기는 집으로 변모한다. 옥주는 여기서 유년의 가장 중요한 한 시절을 보내게 된다. 잊지 못할 사랑과 상처와 갖가지 작별의 순간들이 옥주의 삶 안에 각인된다."
